iter	Passed	Remaining
0	0	93
1	1	87
2	2	83
3	3	78
4	4	79
5	5	79
6	5	78
7	6	77
8	7	76
9	8	75
10	9	75
11	10	74
12	10	73
13	11	72
14	12	72
15	13	71
16	14	70
17	15	69
18	16	68
19	17	68
20	17	67
21	18	66
22	19	66
23	20	65
24	21	64
25	22	63
26	23	63
27	24	62
28	25	62
29	26	61
30	27	60
31	28	60
32	29	59
33	30	58
34	31	57
35	32	56
36	33	56
37	34	55
38	35	54
39	36	54
40	37	53
41	37	52
42	38	51
43	39	50
44	40	49
45	41	48
46	42	48
47	43	47
48	44	46
49	45	45
50	46	44
51	47	43
52	48	42
53	49	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	55	36
60	56	35
61	57	35
62	58	34
63	59	33
64	60	32
65	61	31
66	61	30
67	62	29
68	63	28
69	65	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	77	16
82	78	15
83	78	15
84	79	14
85	80	13
86	81	12
87	82	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
