iter	Passed	Remaining
0	146	146448
1	147	73528
2	148	49213
3	148	37045
4	149	29747
5	150	24884
6	150	21414
7	151	18810
8	152	16791
9	153	15171
10	154	13847
11	154	12743
12	155	11809
13	156	11011
14	157	10364
15	159	9795
16	160	9269
17	161	8797
18	162	8374
19	163	7991
20	164	7649
21	165	7339
22	166	7053
23	166	6789
24	167	6547
25	168	6329
26	170	6127
27	172	6001
28	174	5832
29	175	5678
30	176	5523
31	177	5375
32	178	5236
33	179	5109
34	180	4990
35	182	4876
36	183	4765
37	184	4659
38	185	4570
39	186	4487
40	188	4405
41	189	4324
42	190	4246
43	191	4169
44	192	4094
45	194	4023
46	195	3955
47	196	3890
48	197	3827
49	198	3772
50	200	3723
51	201	3669
52	202	3620
53	203	3567
54	204	3519
55	206	3473
56	207	3426
57	208	3381
58	209	3338
59	210	3298
60	211	3263
61	213	3226
62	214	3187
63	215	3150
64	216	3115
65	217	3080
66	218	3045
67	219	3014
68	221	2983
69	222	2952
70	223	2922
71	224	2892
72	226	2872
73	227	2846
74	228	2817
75	229	2790
76	230	2764
77	231	2737
78	232	2713
79	233	2690
80	235	2666
81	236	2643
82	236	2615
83	238	2596
84	239	2575
85	240	2557
86	241	2536
87	242	2515
88	243	2495
89	244	2474
90	245	2454
91	246	2435
92	247	2417
93	248	2399
94	249	2381
95	250	2363
96	251	2345
97	253	2333
98	254	2319
99	255	2303
100	257	2288
101	258	2272
102	259	2256
103	260	2241
104	261	2226
105	262	2211
106	263	2196
107	264	2182
108	265	2168
109	266	2155
110	267	2144
111	268	2131
112	269	2118
113	271	2106
114	272	2094
115	273	2081
116	273	2066
117	274	2054
118	276	2043
119	277	2031
120	277	2019
121	278	2006
122	279	1994
123	281	1985
124	282	1977
125	283	1966
126	284	1955
127	285	1944
128	286	1934
129	287	1923
130	288	1913
131	289	1903
132	290	1893
133	291	1883
134	292	1874
135	293	1864
136	294	1855
137	295	1848
138	296	1839
139	297	1830
140	298	1821
141	299	1810
142	300	1801
143	301	1792
144	302	1785
145	303	1777
146	304	1768
147	305	1760
148	306	1752
149	307	1744
150	309	1739
151	310	1731
152	311	1725
153	312	1717
154	313	1710
155	314	1702
156	315	1695
157	316	1687
158	317	1680
159	318	1673
160	319	1664
161	320	1657
162	321	1649
163	322	1643
164	323	1639
165	325	1632
166	326	1626
167	327	1619
168	328	1613
169	329	1606
170	330	1600
171	331	1594
172	332	1588
173	333	1582
174	334	1575
175	335	1569
176	336	1564
177	337	1560
178	339	1554
179	340	1549
180	341	1544
181	342	1539
182	343	1533
183	344	1528
184	345	1522
185	346	1516
186	347	1511
187	348	1505
188	349	1500
189	350	1495
190	352	1491
191	353	1486
192	354	1481
193	355	1475
194	356	1470
195	357	1464
196	358	1459
197	359	1454
198	360	1449
199	360	1443
200	361	1438
201	362	1433
202	364	1430
203	365	1427
204	367	1423
205	368	1418
206	369	1414
207	370	1409
208	371	1404
209	372	1400
210	373	1396
211	374	1391
212	375	1387
213	376	1382
214	377	1378
215	378	1374
216	380	1371
217	381	1367
218	382	1362
219	382	1357
220	384	1353
221	385	1349
222	386	1345
223	387	1341
224	388	1337
225	389	1333
226	390	1329
227	391	1324
228	392	1321
229	393	1318
230	394	1314
231	395	1310
232	396	1306
233	398	1303
234	399	1298
235	400	1295
236	401	1291
237	402	1287
238	403	1283
239	404	1279
240	405	1275
241	405	1271
242	407	1268
243	408	1265
244	409	1261
245	410	1257
246	411	1253
247	412	1250
248	413	1246
249	414	1243
250	415	1239
251	416	1236
252	417	1232
253	418	1229
254	419	1226
255	420	1222
256	422	1220
257	423	1216
258	424	1213
259	425	1211
260	426	1207
261	427	1204
262	428	1200
263	429	1197
264	430	1194
265	431	1191
266	432	1187
267	433	1184
268	434	1181
269	436	1179
270	437	1175
271	438	1172
272	438	1169
273	439	1165
274	440	1162
275	441	1159
276	443	1156
277	443	1152
278	444	1149
279	445	1146
280	446	1143
281	447	1139
282	448	1137
283	450	1134
284	451	1131
285	452	1128
286	453	1125
287	454	1122
288	455	1119
289	456	1117
290	457	1114
291	458	1111
292	459	1108
293	460	1105
294	461	1102
295	462	1099
296	463	1097
297	464	1094
298	465	1091
299	466	1089
300	467	1086
301	468	1083
302	469	1080
303	470	1077
304	471	1075
305	472	1072
306	474	1069
307	475	1067
308	476	1064
309	477	1063
310	478	1060
311	479	1057
312	480	1055
313	481	1052
314	483	1050
315	484	1047
316	485	1045
317	485	1042
318	487	1039
319	488	1037
320	489	1034
321	490	1032
322	491	1030
323	493	1028
324	494	1026
325	495	1023
326	496	1021
327	497	1019
328	499	1017
329	500	1015
330	501	1012
331	502	1010
332	503	1008
333	505	1007
334	506	1005
335	507	1003
336	509	1001
337	510	999
338	512	998
339	513	996
340	514	994
341	515	992
342	516	989
343	517	987
344	519	986
345	520	984
346	522	982
347	523	979
348	524	979
349	526	976
350	527	974
351	528	972
352	529	969
353	531	969
354	532	968
355	534	966
356	535	964
357	537	963
358	538	961
359	539	959
360	541	957
361	542	955
362	543	953
363	544	952
364	545	949
365	547	948
366	549	947
367	550	945
368	551	943
369	552	940
370	553	938
371	554	936
372	555	934
373	556	932
374	558	930
375	559	927
376	560	925
377	562	925
378	563	923
379	564	921
380	565	919
381	566	916
382	567	914
383	568	912
384	569	910
385	570	908
386	571	905
387	573	904
388	574	901
389	575	900
390	577	899
391	578	897
392	579	895
393	580	893
394	582	891
395	583	889
396	584	887
397	585	885
398	586	882
399	587	880
400	588	878
401	590	877
402	591	876
403	592	874
404	593	871
405	594	869
406	595	867
407	596	865
408	597	863
409	598	861
410	599	859
411	600	857
412	601	854
413	602	853
414	604	851
415	605	849
416	606	847
417	607	845
418	608	844
419	609	842
420	610	840
421	611	837
422	612	835
423	613	833
424	614	831
425	615	829
426	617	828
427	618	827
428	620	825
429	621	823
430	622	821
431	623	819
432	624	817
433	625	815
434	626	814
435	627	811
436	629	810
437	630	808
438	631	807
439	633	805
440	634	803
441	635	801
442	636	799
443	637	797
444	638	795
445	639	793
446	640	791
447	641	789
448	642	788
449	643	786
450	644	784
451	645	783
452	646	781
453	647	779
454	648	777
455	649	775
456	650	773
457	651	771
458	652	769
459	653	767
460	654	765
461	655	763
462	656	761
463	657	760
464	659	758
465	660	757
466	661	755
467	662	753
468	663	751
469	664	749
470	665	747
471	666	745
472	667	744
473	668	742
474	670	740
475	671	738
476	672	737
477	673	735
478	674	733
479	675	732
480	677	730
481	678	728
482	678	726
483	679	724
484	680	723
485	682	721
486	683	719
487	684	717
488	685	715
489	686	714
490	687	713
491	689	711
492	690	709
493	691	707
494	692	706
495	693	704
496	693	702
497	695	700
498	696	699
499	697	697
500	698	695
501	699	693
502	700	692
503	702	690
504	703	689
505	704	687
506	705	685
507	706	684
508	707	682
509	708	680
510	709	679
511	710	677
512	712	676
513	713	674
514	715	673
515	716	671
516	717	670
517	718	668
518	719	666
519	720	664
520	721	663
521	722	661
522	723	659
523	724	658
524	725	656
525	726	654
526	727	653
527	729	651
528	730	650
529	731	648
530	732	646
531	733	645
532	734	643
533	735	641
534	736	639
535	737	638
536	738	636
537	739	634
538	740	633
539	741	631
540	742	629
541	743	628
542	744	626
543	745	625
544	747	623
545	748	622
546	749	620
547	750	618
548	751	617
549	752	615
550	753	613
551	754	612
552	755	610
553	756	608
554	757	607
555	758	605
556	759	604
557	760	602
558	761	601
559	762	599
